id	ivan_annotations	shio_annotations	adjudicated	text
4			lifestyle	为什么每次不在中国都会在他们家？@田鸡W @-RJ-爱喝乙醇的甲醇
24			food & drink	@kelly小妞-曼陀罗 你厉害的！蛋糕吃好一屁股坐我笔记本上[good][good][good][good]
30			none	分享图片
32			lifestyle	一把年纪了，到哪儿还都抱着她的玩具狗。
40			gaming	我刚刚绑定了手机，获得了【如来神掌】勋章，微博已经尽在我掌中！也想练成此神功？快来绑定吧！http://t.cn/SXSW4j
45			lifestyle	喝爷爷换了杯子喝水。爷爷的杯子被熏得有股淡淡的檀香味，喝水时又回忆起小的时候…那种感觉真好。
57			food & drink	做的cup cake
81			entertainment	#十大劲歌金曲颁奖礼#支持林峰拿大奖
88			entertainment	我参加了投票《杨幂刘恺威公开恋情》投给“原来当初的爆料是真的！” http://t.cn/SXM7bS
93			lifestyle	不就是剪了短发么，被一家人不约而同的认为像陈真！我真的很好奇他们老一辈心目中的陈真是哪个版本的→_→还有爷爷，您那一副骄傲的表情外加赞许的语气是想说陈真太娘炮还是您孙女太man啊π_π
96			lifestyle	主银为了这个陌生的胖子把我们哥俩关起来了
98			lifestyle	龙年,我有了—个龙弟弟
103			lifestyle	看完BM,再看铁甲钢拳,聊聊天 过的甚好 http://t.cn/SXSWZs
127			sports	上海大鲨鱼领先！！
136			feelings	好萌啊。。。。。。萌死了
137			gaming	太棒了，我的声望升级啦！获得了丰富的货物奖励！ 帮助好友的奖励！一起来玩微城市！开始游戏http://t.cn/SX2FTG
140			feelings	哎呦。。。。我要孤独终老了！！！！！！！！！我要哭了[泪][泪][泪]
145			none	3399658619939722
146			gaming	来之不易啊，有木有，有木有！//@仅自己可见z1 在游戏咖啡恋人中获得了成就咖啡豆霸主，成为微博第70位获得该成就的人，你想和TA比试一下吗?http://t.cn/SqbUOO
147			gaming	小小乐园，大大乐趣，和我一起体验升级的优越感吧。 华丽的乐园之梦已经越来越近了！这样的#小小乐园#才是我想要的呢！去ta的乐园瞧瞧http://t.cn/SXSWPO
165			gaming	微三国将你化身三国君主体验最拉风的名将PK，最炫酷的技能特效，最义气的兄弟公会！ SkybirdatSH强化装备成功我强化装备成功，将细鳞甲强化到了2级，真是RP爆发啊，想不想来跟我比一比！我也要玩http://t.cn/SVjVII
167			entertainment	我给粉红女郎万人海选选手@Vivian丶张敏 投了一票，大家都来支持她吧，活动地址http://t.cn/SMlIX0 ,访问她的主页http://t.cn/S6fjpZ （来自@微女郎 ）
177			lifestyle	回复了【小孩3岁严重平脚有什么纠正办法？】您好！您担心的是什么问题？ 左脚大小不一样还是脚有长短？还是有平足？http://t.cn/SXSOkh
205			none	3399658850382577
223			lifestyle	真受不了我老爸  一口一个东方购物不会骗人的[汗]
228			entertainment	人家倪妮也是88年的，怎么就如此的风情万种啊[喵呜]
229			lifestyle	用满屏幕的塔塔谋杀你!!!!!!@Lillian-羅 MANMANMANMANMANMAN[老大]
239			lifestyle	历时一年，十个周末，一百六十个小时，港大的研究生课程告一个段落。接下来是语言学习了。想想庄子说的话：学海无涯，何苦呢！
244			gaming	#乱世天下#藕苒横行霸道鱼肉乡里，带领一帮狗腿叫嚣乎东西隳突乎南北，翻箱倒柜刮地三尺，搜得银子12,661两七钱五分四厘。http://t.cn/Sh4yvx
245			lifestyle	我说：指导老师、你手机是拿来摆设的么？老万说都是指导老师找不到学生...我还真是遇到宝了...发你短信可以一整天都不回!!!老师你手机是有多不喜欢拿它啊？夏老..老..师...师...收到短信回句「好的」就行了...
252			advertisement	“【百脑汇拜早年 话费Q币砸出来】”，这个活动推荐给大家。 地址：http://t.cn/S6jolc
272			entertainment	【九月】五人共用一把吉他，加拿大乐队Walk off the Earth超强表演 http://t.cn/SXPkX5  （分享自 @优酷网）
277			lifestyle	打开信箱，发现.......我没订呀！想了半天才想起来，是@招商证券 送的。[嘻嘻]
294			lifestyle	看到大熊猫了呢！哈库内    #美图GIF#
309			lifestyle	@传说中的y3 阿姨阿姨，那种巨型的长得像比熊的狗是什么品种啊？还是就是比熊里的姚明？
313			lifestyle	今天满90天了，明天开始正式进入第四个月啦
319			food & drink	好多好多菜，撑！打包回家的还能吃几天！！！排队值得啊！[馋嘴][馋嘴]外婆叫你吃饭了！！！
332			entertainment	天天晚上守在＜＜悬崖＞＞边，心惊肉跳！现在的悬疑片越来越好看。
342			food & drink	聪爸创意料理之 爱心豆瓣酥
366			none	@飛天小阿當 Thank you～ [亲亲]
367			advertisement	我刚更新了2012版新浪微博客户端，推荐你也一起来体验http://t.cn/SVYw05。2012版微博客户端更快捷分享位置，还能寻找周围的微博好友哦，赶紧和我一起带上微博过新年吧！
385			none	WTF...
396			none	3399659106555585
428			lifestyle	每天都要发愁、焦虑、不安、无助、绝望一次，半个小时才会恢复，都快成惯性了。马上又可以少1天了，所以要坚持下去！就当每天一次的焦虑是xxx好了→_→
462			entertainment	【无与伦比的声音！！】这个曲子是绝杀~~~~我承认~~~我差点哭了~~~感动数万人的一曲子！！What Are Words http://t.cn/Si5j3e
468			food & drink	我在力士相撲焼肉。周日晚餐: 不用多說，強烈推薦!!!  http://t.cn/SXSjn5
485			lifestyle	【注意啦！！购物小票里的健康杀手】小票中含有的双酚A可以通过皮肤进入人体，影响人们的生殖系统，并诱发心脏病和癌症等。温馨提醒：小票别长时间攥在手里，手上有伤口的，更要慎重！
499			entertainment	原来Nikita S2都放了一半了...
505			food & drink	明晚终极晚宴的大舞台，可以跟新天地夸年晚会的规模媲美了[鼓掌]
506			entertainment	看过《滴水之恩》 http://t.cn/aFmzaz
520			sports	海上降落伞~我猜他在我手上写的是3圈的意思。。。点水太恐怖了~差点没把我淹死。。。
534			none	11号线 http://t.cn/SXSjWF
551			none	3399659052021373
561			none	分享图片
562			lifestyle	还好，小的高烧退了，今天还是挂了水巩固一下，明就不去学校再休息休息。双休日全“贡献”在了医院。
564			lifestyle	上海太冷了[抓狂]'出不了门！无聊在家！[睡觉]哪位美女让我劫个色[泪][泪][泪]    #美图GIF#
565			lifestyle	好，钱太少，不去了，安度晚年。
570			entertainment	#男子高中生的日常#，好像很好笑的样子，阿虚附体了，银桑附体了，ed神了。http://t.cn/Sz5mq3
592			lifestyle	我不想写作业嘛 5555
593			lifestyle	我在新招鲜。掉鸡窝里了  http://t.cn/SXSTMW
607			lifestyle	看到这些曾经被父母遗弃的患有先天残疾和疾病的宝宝们现在在鲁冰花舍这么健康快乐地生活着，真是感谢上苍！感谢鲁冰花舍的悉心照顾！//@Saul丶洛凡 //@可馨1119:午睡醒来 排排坐期待吃蛋羹@马上封侯066 @凌殳轩 @鲁冰花舍 - 原文地址：http://t.cn/SXSTt8
611			entertainment	不觉得陈妍希和孙艺珍有点像吗?
616			lifestyle	最后一天的“好日子”。明天真的要上班去了么。。。
625			gaming	我正在为我的金字塔充能。 希望大家伸出援助之手。帮我完成祈祷仪式！开始游戏http://t.cn/StYSnz
650			lifestyle	[ 【2012年新年献辞】像一束光簇拥另一束光 http://t.cn/S6L3Eo ] @网易阅读
653			none	3399659328889061
654			gaming	争夺江山，拥抱貂蝉，赛曹操比刘备，攻城略地，千军万马只等你来《微三国》一声号令。 听话的落叶打开宝箱获得了青龙甲我刚刚在微三国打开了宝箱，跟我来玩微三国吧！惊喜不断等着你！我也要玩http://t.cn/SM3JXD
660			lifestyle	这是什么？在总统府四周的人行道上有标有台湾特有动物的铺路石。
673			gaming	轻松完成了“技能达人”的2星任务。 我收藏了10种技能轻松完成了“技能达人”的2星任务。去Q将三国看看：http://t.cn/SiNEwh
704			lifestyle	刚致电朋友，说家里快上房揭瓦了，究其原因，原来来了个小捣蛋鬼，头大，据说只有ipad和iphone搞的定他，非apple广告~
713			food & drink	牛肉饼重要还是老公重要？！[抓狂]@FraNcesca圆小圆不要圆
723			advertisement	我支持#理性态小度#！他是我的态度代言人[震撼]！http://t.cn/SVcnZb 微博投票是一个人人可以表态的地方，你的立场、观点、情绪、喜好……都可以有力表达。在这里，已经有一亿次的投票，一百万个投票结果。微博投票霸气上线，小态度，大力量！豪放派奖中[手机]。http://t.cn/hBmUAR
728			food & drink	还是哈根达斯好、你们懂得[晕][晕][晕]@乐美龄      @胡泊-Mona
747			none	3399659295059552
749			lifestyle	【震惊！最新最恐怖的拐卖妇女方式出炉】女性朋友们留意啊，太可怕啦！虽然不知道是真是假，但为左了自己的安全，一定要看完下图文字！ 大家转发，让更多人看到吧！ http://t.cn/SXSTP9
751			society	[酷]马英九拿出点霸气来主动出击让我们支持你有点味道嘛！选上了大家都好过了！ http://t.cn/SXSThw
755			lifestyle	女人之间的事情永远那么多，再嫉妒你也没人家漂亮有气质，何必呢，骂人家的背后其实是在暗暗羡慕吧。有这么多空的时间不如多顾着点自己，八婆
757			lifestyle	我的肚脐点在这里[挤眼]
761			lifestyle	喝多鸟 偶又喝多鸟[亲亲]
780			entertainment	在一条问题中投了@彩霞妹妹子是一朵盛开的奇葩 为冠军。有“爆料”说明有“关系”，损友要“爆料”，地球人拦都拦不住了。新型“小邪恶”社交互动游戏，都来挖掘你身边的“损友”吧。 http://t.cn/SZEw41
795			entertainment	罗斯福挑战赛～
797			science & technology	整理电脑的好用小软件~~上传到微盘了~嘿嘿嘿~ http://t.cn/SXSHBS
806			society	太可怕了!@Jae珈玮
832			sports	下午跑去射箭，我靠，发现我天赋那真是横着流啊
837			none	Waiting for \master piece\"~! [酷]"
871			entertainment	【Nirvana.E】張惠妹翻唱 HEBE 寂寞寂寞就好 http://t.cn/agxyVx  （分享自 @优酷网）比原唱有感觉 有故事的人
891			gaming	狂野飙车6 火线追击也是男性的最爱。游戏中玩家可以驾驶世界上最快的30多种梦幻跑车，包括法拉利、兰博基尼、奥迪以及杜卡迪，HD级高质量画面能够完美的展示出雪地、泥地以及砂石路等12种赛道的特效。不过，很多人反应手机上安装困难，估计比较适合老鸟玩。http://t.cn/aNrDMf
909			sports	斯科尔斯替补上场，我就入手22号斯科尔斯球衣。。。[心][心]22号
922			gaming	娶小乔，抢貂蝉，战吕布，《微三国》让你爽到爆的游戏！玩你从来没玩过的三国！ 提鲁西娅取得了一场胜利我在一场战斗中取得了胜利，并获得战利品，真是“将军会武术，谁也挡不住啊”！我也要玩http://t.cn/StSOAQ
923			advertisement	“PRIUS新年送大礼，大奖送不停”，这个活动推荐给大家，点击 进入 地址：http://t.cn/S6z3fn
947			gaming	来之不易啊，有木有，有木有！//@流苏-l 在德克萨斯扑克 获得了成就背水一战，获取速度超过了微博99%的玩家，你想和TA比试一下吗？http://t.cn/S60Ej8
954			society	接到电话，LG的堂弟今早过世！酒后驾车害人啊[蜡烛]
981			society	全是[心][心][心]的，太浪漫了！
993			food & drink	我在釜山料理。哈哈，有人烤的幸福哇！  http://t.cn/SXS8Xb
1000			feelings	心情超级差╯▽╰  也许我就是这样的人
1007			feelings	一天都没吃饭，竟然没有感觉到一点饿，可是胃又开始痛了，就让我痛死吧。。。[抓狂]
1013			lifestyle	在一个朦胧的地方，朦胧
1026			none	孤影——鹰
1037			none	3.39966E+15
1055			none	@安联球场的咆哮鸟 @都厅之下 @吾友和神牛出来看女神_年更君 看邮箱
1071			sports	曼联加油，今晚不能再输给曼城了！
1082			none	3399659861130772
1084			feelings	累不累啊 http://t.cn/Sfq62a
1087			feelings	明明很开心，但却不知道少了什么，累[失望]
1089			feelings	在酒店的附近骑着自行车一路穿梭在美丽的椰子树下。整条街都是酒店，希尔顿，喜来等...真不愧是渡假之城。
1090			feelings	回家的车票终于搞定了，电脑终于修好了，所有的麻烦事都告一段落了，真是完美的周末✌✌
1097			gaming	#乱世天下#食君之禄，忠君之事。塔塔的小窝于197年冬领取到俸禄13,000两，开心的买了二两猪肉回家下酒。http://t.cn/SAHpQO
1098			feelings	昨天看了《亲密敌人》今天看来《龙门飞甲》，一个有点小乏味，不是我喜欢的都市爱情剧，一个不过3D还有点糊涂，不过~~~还是很好看的哦，推荐没去看的朋友看看。
1103			feelings	恩哼~~~开吃!!!!
1104			feelings	[可怜][雪]
1131			feelings	@Yu___J  明天春晓又给我们做寿司吃      。。      你羡慕嘛？ [偷笑][偷笑][偷笑][偷笑][偷笑][偷笑][鼓掌][鼓掌]
1141			feelings	上班大家一起外卖肯德基 可是为什么就我吃了狂吐 发烧 [泪][泪][泪] 又是自己吊盐水 扎针下手不心软 还包括对自己[可怜][可怜][可怜]@otoyo_哔哔_  快安慰我下 我替大家吃了有毒的鸡[泪][泪][泪]
1145			advertisement	我刚获得了炫铜系列 的@微号 336938686 ~ 你也快来领取吧。（http://t.cn/aRaoPr）
1155			feelings	突然想吃西瓜，@兆亿万 刚想出门买西瓜，老妈就来电话说儿子在吃西瓜，还说让妈妈吃点西瓜就能退烧了，真是心有灵犀啊，于是老公就开车去老妈家拿另外半个西瓜和哈密瓜了，发烧有西瓜吃[太开心][太开心]
1194			advertisement	特mol田园婚庆 床头 卧室 台灯 结婚礼物 (甜蜜玫瑰花朵-闪粉)1.7 来自淘宝-开心赚宝 http://t.cn/SXSFmb
1199			feelings	当女人有了处女情结，就有了亏欠他的心结。
1218			feelings	分享蔯丗里の哝民(  )的日志：2012-1-8 - 回家路上，
1228			feelings	挨？我喜欢这首！fallin！@李在元
1241			feelings	什么事知道太多会难过
1247			gaming	你敢挑战吗？//@Miooo_y叶 的微城市的最有钱的城市为7815，超过@用二胡拉出嘻哈的味道 排名升至第1。http://t.cn/SXSFRe
1248			lifestyle	后面的男淫湿了、、、
1256			feelings	麻麻跟yoyo抱怨:都是你，阿姨难得来一次麻麻都不能跟她出去逛街，还要带你，我是你保姆是吧？！yoyo说不是保姆。麻麻说那是什么呀？yoyo说:麻麻是我的小心肝，命根子！我的妈呀，这也太会拍马屁了吧[花心]
1260			feelings	第一次自己剪刘海
1276			none	【*贤茜*20110827_原创】浅浅_贤茜吧 http://t.cn/SXSFwG  （分享自 @百度贴吧）
1309			lifestyle	[耶]香奈儿低帮黑色马丁靴，帅气的说
1320			gaming	今天有是血拼！！地点龙之梦！！
1329			none	喂
1347			none	3399662382310335
1356			feelings	留给自己的是沉默。
1375			none	3399662373920548
1389			gaming	我刚刚在#德克萨斯扑克#中开启了神秘宝箱， 每次开启都可以得到不同金额的奖励，关注@德克萨斯扑克官方微博 更多奖励哦，快来体验吧！开始游戏http://t.cn/SXy2D5
1394			food & drink	我在Jean Paul Hevin Chocolatier。与 @海上江舟 在一起。原来这里的马卡龙这么小啊？真Tm贵  http://t.cn/SXovyK
1405			gaming	我师傅话很多，我随他。当年他在东吴舌战群儒，如今我在微博谈古论今。他鞠躬尽瘁，死而后已，我获得了【舌战群儒】勋章。http://t.cn/SXov2N
1410			food & drink	一大快巧克力咬的我牙疼，但好吃[馋嘴]
1419			lifestyle	在上海睡两个晚上，继续飞...... http://t.cn/SXovAM
1436			food & drink	我在避风塘(百联西郊店)(签到1次)  http://t.cn/hbsP9A
1437			feelings	六、别说别人可怜，自己更可怜，自己修行又如何？自己又懂得人生多少？ 七、学佛是对自己的良心交待，不是做给别人看的。 八、福报不够的人，就会常常听到是非；福报够的人，从来就没听到过是非。 九、修行是点滴的工夫。 十、在顺境中修行，永远不能成佛。
1455			entertainment	老娘舅演日影[偷笑]   分享图片#WeicoGIF#
1456			none	3399662616774222
1470			none	分享图片
1489			entertainment	哎呦喂。。。405么又不开，撒意思啦撒意思啦撒意思啦！！！！！！！！！！！！！！！！！！！
1495			sports	斯科尔斯！！！
1496			sports	户外运动防水面料双肩包 很显眼的哦！
1503			none	分享图片
1526			feelings	剪个头发还可以上Wifi开心啊！[哈哈][哈哈][哈哈][嘻嘻][嘻嘻][呵呵][呵呵]
1530			lifestyle	我想阿麟老公
1553			feelings	调约约～你粗来呀～[泪]我被遣送回来了~
1569			feelings	#小馄饨成长记#人家困shi了。。。。[睡觉](-_-)zz
1577			gaming	发现切西瓜这个游戏与企业运营有一些想通的地方：水果代表商业机会，炸弹是你在商业运营过程中不可触的雷区和危机；机会往往是伴随着危机一起出来；机会抓不住可能还有机会，但触了雷区则公司必玩完，再厚的底蕴也付诸东流；随着企业的发展，机会可能越来越多，但危机也越来越多，做好保持都不容易！
1591			feelings	我不再会去问为什么,这个世界上没有那么多的答案来安慰自己.这个世界上也没有那么多的人能解救自己,能解救自己的只有自己.现在的状态比从前更糟糕,那时只是难过.而现在却是不再抱有希望.人最可怕的,就是绝望.
1613			food & drink	替妈妈找好吃的甘甜梅，居然找到了这家百年老店。清朝光绪１２年（西元１８８６年）挂牌开店，目前已传到第四代。斑驳且不起眼的店面外观，比起其他家生意卻热闹许多。
1616			feelings	买鸡途中发现好多亮点
1627			advertisement	我参加了都市绿农活动，等着吃我种的新鲜健康蔬菜吧！ 请看我的网易博客:shcaijian.blog.163.com
1632			feelings	昨天年会最郁闷的事情：吐了两次回去睡觉，半夜被饿醒，兜了一圈，觅食无果，回房时隔壁传来众男女欢声笑语，依稀听到什么闻异性腋下，给领导发地震消息诸如此类，心绪荡漾，虽困虫入脑，却无法再次入眠，幸运的是找到一空房而入，一觉天明。
1634			feelings	喝好喜酒进电梯[泪]我的手镯碎了[抓狂]
1650			gaming	一分耕耘，一分收获！//@--承欢-- 的Q将三国的武将切磋为6904，超过@番茄公主- 排名升至第455。http://t.cn/asgHHu
1659			entertainment	#后宫甄嬛传#數年的恩情，才知道自己是別人的替身。。男人心，海底針。。。
1684			feelings	又累又要给人折腾又病
1687			advertisement	#库巴达人微评选#我爱占便宜，只要真便宜，必须抢一抢，不怕限时限量，只要这种感觉！我是库巴抢购达人！@元伟飞的微博 http://t.cn/S42W5a
1696			sports	娘B啊 斯科尔斯都能回来 小贝没有不可能啊！！！
1714			entertainment	向@乔任梁 提问：Kimi呐，好希望你能回答我一次哦（之前一次也么[泪]）。呐、期待你的新专辑，不晓得你什么时候有空弄呢。。。看你拍戏那么忙，好好照顾自己才是真的呐！要继续加油噢~~>.<
1723			feelings	被我做过的沿路风景。。。[心][心]
1738			entertainment	本来想搜搜善花美图 结果看到有付的饭在科普善花 其中\untouchable主唱\"亮瞎我的眼..您自己也不认识的瞎科普啥呀..囧 人家只是和Untouchable合作过一首歌好么..人家是Secret的成员好么..囧囧囧"
1741			gaming	不是我不想谦虚，只是根本没法低调~ 达成了成就：险胜3场!不用太多只要赢一点点就足够了。挑战一下http://t.cn/S6nS59
1754			feelings	今天打算早早上床---------刷围脖，看视频。。。囧[打哈气][鼓掌]
1758			advertisement	宝马公司创意宣传册设计 http://t.cn/SXozah
1764			feelings	儿子发烧,心里很急.希望他尽快好起来
1766			lifestyle	这一张是几位在李维榕老师家的合影。大家几乎是坐了世界上最长的自动扶梯才去到李老师家。
1782			entertainment	【正式】Harvest 111220 http://t.cn/SI58nQ  （分享自 @原创音乐基地）飛飛飛女神漂亮的沒話說！民族調大愛！
1798			none	3399668971316083
1816			lifestyle	@海绵海绵小海绵 麻痹你礼拜三去泡吧伐
1823			feelings	巴子就是巴子，嘎晚了，安静的公车上开着巨响又粗糙的乡村民谣！妈的开那么大声你重听还是耳背啊[哼] http://t.cn/SXIMlk
1835			lifestyle	亲~@Peach1227 有起司猫了，可惜我吃不下了
1852			lifestyle	今日平淡无奇，我是上网呢上网呢还是上网呢！ http://t.cn/SXoWsm
1875			lifestyle	#恐龙园#好想去
1876			lifestyle	毛衣看得眼睛都花了~现在淘宝也不便宜><有没有人来帮我挑一件的呀[坏笑]@支正太有点萌 @活宝乖乖JinG @水瓶座的C @黄潇潇叫呆呆
1894			none	The Monrovia-flagged container ship Rena is seen split in two in a storm as it is pounded by high seas off the coast of Tauranga, New Zealand.
1900			none	born in this way
1936			lifestyle	@妮可Nicole_Lu 亲爱的，最近有没有好看的日剧推荐啊？你最近在看什么？我没事干，看了两集我不能恋爱的理由，也不知道后面好不好看。。。
1941			lifestyle	喝多了有点晕
1948			feelings	溜好狗狗，洗洗弄弄终于躺在我心爱的大床上了~HAPPY…
1965			lifestyle	我在G15沈海高速太仓主线收费站。 http://t.cn/SXoWQU
1970			advertisement	不管你信不信，反正我信了！//@self-conscious 的微三国的等级为33，超过@未知的方向的围脖 排名升至第6。http://t.cn/SqQsRP
1976			none	分享图片
2019			none	3399669176906971
2029			feelings	没有钱的男人总是认为爱情与财富之间有必然关系。中等之姿的女人总是不可救药地认为，姿色决定了爱情的命运。
2056			advertisement	万人丛中一握手,使我衣袖三年香. 介绍新导购.我的超市又雇了个新员工，大家快来围观啊！过去看看http://t.cn/SXojMo
